,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,doc_url,dependent_project_count,github_dependent_project_count,home_page,pypi_id,pypi_url,pypi_monthly_downloads,gitlab_id,gitlab_url
14,PyFlyt,jjshoots/PyFlyt,"['PyBullet', 'OpenGL']",aerial,https://github.com/jjshoots/PyFlyt,https://github.com/jjshoots/PyFlyt,MIT,2022-05-27 15:44:46,2025-06-17 11:55:49,2025-06-17 11:55:49,1081.0,2.0,33.0,6.0,34.0,13.0,44.0,180.0,2025-03-01 13:09:21,0.29.0,,959.0,34.0,UAV Flight Simulator for Reinforcement Learning Research.,11.0,17,True,2,,37.0,37.0,https://taijunjet.com/PyFlyt/index.html,pyflyt,https://pypi.org/project/pyflyt,959.0,,
15,DJI,dji-sdk/Onboard-SDK-ROS,[],autopilot,https://github.com/dji-sdk/Onboard-SDK-ROS,https://github.com/dji-sdk/Onboard-SDK-ROS,,2015-10-29 07:21:35,2023-10-27 14:06:49,2021-03-03 02:46:09,448.0,,288.0,52.0,103.0,92.0,348.0,471.0,2018-02-05 07:06:03,3.6.0,,,11.0,Official ROS packages for DJI onboard SDK.,28.0,16,True,3,,,,,,,,,
16,Project AirSim,iamaisim/ProjectAirSim,['Unreal Engine'],aerial,https://github.com/iamaisim/ProjectAirSim,https://github.com/iamaisim/ProjectAirSim,MIT,2025-05-13 15:24:25,2025-09-08 17:58:11,2025-09-08 17:57:40,23.0,17.0,25.0,33.0,32.0,15.0,4.0,248.0,2025-07-30 18:57:09,0.1.1,336.0,168.0,1.0,"Project AirSim is Microsofts evolution of AirSim an advanced simulation platform for building, training, and testing..",9.0,16,True,2,,,,,,,,,
17,Pegasus Simulator,PegasusSimulator/PegasusSimulator,['NVIDIA Isaac Sim'],aerial,https://github.com/PegasusSimulator/PegasusSimulator,https://pegasussimulator.github.io/PegasusSimulator/,BSD-3-Clause,2023-02-27 08:58:27,2025-07-20 14:11:57,2025-07-20 14:02:54,216.0,1.0,100.0,10.0,38.0,19.0,33.0,546.0,2025-07-20 14:09:20,4.5.0,,,6.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,4.0,15,True,2,,,,,,,,,
18,FlightGoggles,mit-aera/FlightGoggles,"['Ad hoc', 'Unity']",aerial,https://github.com/mit-aera/FlightGoggles,https://flightgoggles.mit.edu/,MIT,2017-04-02 21:14:31,2024-04-01 14:38:14,2024-04-01 14:38:14,219.0,,97.0,28.0,6.0,20.0,151.0,428.0,2021-05-31 00:18:07,3.0,1581.0,17.0,18.0,A framework for photorealistic hardware-in-the-loop agile flight simulation using Unity3D and ROS. Developed by MIT..,9.0,15,False,2,,,,,,,,,
19,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,['NVIDIA Isaac Gym'],aerial,https://github.com/ntnu-arl/aerial_gym_simulator,https://ntnu-arl.github.io/aerial_gym_simulator/,BSD-3-Clause,2023-04-04 20:48:46,2025-07-07 10:03:50,2025-07-07 10:03:15,56.0,1.0,87.0,18.0,10.0,11.0,31.0,561.0,2025-04-28 07:50:13,2.0.0,,,2.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,4.0,14,True,2,,,,,,,,,
20,Gymfc,wil3/gymfc/,[],aerial,https://github.com/wil3/gymfc,http://wfk.io/neuroflight/,MIT,2018-04-10 17:11:12,2021-10-07 16:59:11,2021-10-07 16:59:10,268.0,,104.0,21.0,30.0,9.0,72.0,430.0,2018-09-17 15:25:54,0.1.0,,,1.0,A universal flight control tuning framework.,,14,False,2,,,,,,,,,
21,rotorpy,spencerfolk/rotorpy,['Ad hoc'],aerial,https://github.com/spencerfolk/rotorpy,https://github.com/spencerfolk/rotorpy,MIT,2023-03-15 18:55:42,2025-08-18 16:04:28,2025-08-18 16:04:28,215.0,6.0,41.0,6.0,9.0,1.0,16.0,184.0,2025-08-18 15:55:02,2.0.2,11.0,1.0,4.0,A multirotor simulator with aerodynamics for education and research.,5.0,14,True,2,,,,,,,,,
22,jMAVSim,PX4/jMAVSim,['Java3D'],aerial,https://github.com/PX4/jMAVSim,https://github.com/PX4/jMAVSim,BSD-3-Clause,2015-06-13 23:11:25,2024-07-03 08:23:19,2021-12-17 09:22:41,382.0,,211.0,37.0,79.0,16.0,36.0,96.0,,,,,,Simple multirotor simulator with MAVLink protocol support.,28.0,14,False,2,,,,,,,,,
23,CrazyS,gsilano/CrazyS,['Gazebo'],aerial,https://github.com/gsilano/CrazyS,https://github.com/gsilano/CrazyS,Apache-2.0,2018-02-20 14:42:23,2022-08-11 14:59:13,2022-08-11 14:57:06,259.0,,84.0,4.0,19.0,9.0,79.0,174.0,2021-12-28 12:17:27,7.0.1,,,27.0,"CrazyS is an extension of the ROS package RotorS, aimed to modeling, developing and integrating the Crazyflie 2.0.",2.0,13,False,3,,,,,,,,,
24,Aerostack(1),cvar-upm/aerostack,[],stacks,https://github.com/cvar-upm/aerostack,https://github.com/cvar-upm/aerostack,,2015-10-28 10:41:11,2021-11-16 17:27:23,2021-11-16 17:27:23,1735.0,,43.0,25.0,3.0,4.0,69.0,158.0,,,,,,Software framework for aerial robotic systems.,50.0,13,False,3,,,,,,,,,
25,Micro-XRCE-DDS,eProsima/Micro-XRCE-DDS,[],protocols,https://github.com/eProsima/Micro-XRCE-DDS,https://github.com/eProsima/Micro-XRCE-DDS,Apache-2.0,2017-12-05 13:39:03,2025-05-14 09:13:13,2025-03-18 09:30:36,132.0,,16.0,20.0,123.0,16.0,43.0,174.0,2025-03-18 09:31:13,3.0.1,,,19.0,An XRCE DDS implementation. Looking for commercial support? Contact info@eprosima.com.,15.0,12,True,3,,,,,,,,,
26,Isaac Drone Racer,kousheekc/isaac_drone_racer,['NVIDIA Isaac Lab'],aerial,https://github.com/kousheekc/isaac_drone_racer,https://github.com/kousheekc/isaac_drone_racer,BSD-3-Clause,2025-05-26 09:11:53,2025-08-11 13:18:18,2025-06-20 13:22:15,47.0,16.0,22.0,5.0,,1.0,4.0,118.0,,,,,,"Isaac Drone Racer is a reinforcement learning framework for high speed autonomous drone racing, built on top of..",,10,True,3,,,,,,,,,
27,Fly Craft,GongXudong/fly-craft,['OpenAI Gymnasium'],aerial,https://github.com/GongXudong/fly-craft,https://github.com/GongXudong/fly-craft,MIT,2024-03-09 07:37:07,2025-07-02 11:44:48,2025-07-02 11:44:39,43.0,4.0,,2.0,,,3.0,78.0,,,,125.0,,An efficient goal-conditioned reinforcement learning environment for fixed-wing UAV velocity vector control based on..,,9,True,3,,4.0,4.0,,flycraft,https://pypi.org/project/flycraft,125.0,,
28,Aerial Autonomy Stack (AAS),JacopoPan/aerial-autonomy-stack,[],stacks,https://github.com/JacopoPan/aerial-autonomy-stack,https://github.com/JacopoPan/aerial-autonomy-stack,MIT,2025-06-20 16:11:46,2025-09-12 02:00:48,2025-09-12 01:58:17,457.0,457.0,2.0,2.0,2.0,,,17.0,,,,,,ROS2 multi-drone PX4 and ArduPilot SITL with YOLOusing Dockerized simulation and deployment for Jetson.,3.0,9,True,3,,,,,,,,,
29,Flightgear,,[],aerial,,https://www.flightgear.org/,gnu-gpl2,2015-03-04 07:33:36,2015-03-04 07:33:36,,,,39.0,,,163.0,177.0,56.0,,,,,0.0,FlightGear open-source flight simulator [flightgear.org](https://www.flightgear.org).,,8,False,3,,,,,,,,flightgear/flightgear,https://gitlab.com/flightgear/flightgear
30,Betaflight,,[],autopilot,,https://gitlab.com/djtms/betaflight,GPL-3.0,,,,,,,,,,,10000.0,,,,,,Open Source Flight Controller Firmware.,,6,True,3,,,,,,,,,
31,RotorTM,arplaboratory/RotorTM,"['Ad hoc', 'OpenGL']",aerial,https://github.com/arplaboratory/RotorTM,https://github.com/arplaboratory/RotorTM,GPL-3.0,2021-12-28 23:49:46,2024-06-09 13:19:43,2024-06-09 13:19:43,205.0,,14.0,3.0,8.0,2.0,2.0,71.0,,,,,,,3.0,6,False,3,,,,,,,,,
32,PX4-FastRTPS-ROS,eProsima/px4_to_ros,[],protocols,https://github.com/eProsima/px4_to_ros,https://github.com/eProsima/px4_to_ros,Apache-2.0,2017-05-23 14:23:27,2017-06-09 12:19:32,2017-06-09 12:17:27,23.0,,1.0,14.0,,,,27.0,,,,,,ROS2/ROS packages for communicate PX4 with ROS.,2.0,6,True,3,,,,,,,,,
33,swarm_sync_sim,shupx/swarm_sync_sim,"['ODE', 'OpenGL']",aerial,https://github.com/shupx/swarm_sync_sim,https://github.com/shupx/swarm_sync_sim,BSD-3-Clause,2024-10-27 06:09:01,2025-05-13 08:57:41,2025-03-18 12:46:41,197.0,,1.0,1.0,,,,13.0,,,,,,"swarm_sync_sim (also known as sss) is an ultra-lightweight, ROS-based simulator for robotic swarms, including..",6.0,6,True,3,,,,,,,,,
34,Itomori,gustavo-moura/itomori,['OpenAI Gymnasium'],aerial,https://github.com/gustavo-moura/itomori,https://github.com/gustavo-moura/itomori,MIT,2024-10-29 03:55:56,2024-10-29 16:35:23,2024-10-29 16:35:20,4.0,,,1.0,,,,9.0,,,,,,Gymnasium environment for research of UAVs and risk constraints.,,4,True,3,,,,,,,,,
35,Matlab UAV Toolbox,,"['MATLAB', 'Unreal Engine']",aerial,,https://www.mathworks.com/products/uav.html,MathWorks Software License Agreement,,,,,,,,,,,,,,,,,,,1,False,3,,,,,,,,,
36,Realflight,,[],aerial,,https://www.realflight.com/,proprietary software license,,,,,,,,,,,,,,,,,,,1,False,3,,,,,,,,,
37,X-plane,,[],aerial,,https://www.x-plane.com/,proprietary license,,,,,,,,,,,,,,,,,,,1,False,3,,,,,,,,,
38,Spleenlab simulator,,[],aerial,,https://spleenlab.com/,proprietary,,,,,,,,,,,,,,,,,,,1,False,3,,,,,,,,,
